"Team"	"Signed"	"Avg.Age"	"Active.Cap"	"Dead.Cap"	"Total.Cap"	"Lux.Tax.Space"	"Cap.Space."	"Practical.Cap.Space.."	"Coach.Tenure"	"OFFRTG"	"DEFRTG"	"Wins"	"TOV"	"NBAYear"	"ID"
"22-2019"	"Orlando Magic"		24.7	112686749	"$1,813,371 "	114671036	"$9,061,964 "	-12802036	-12802036	1	107.8	107.4	40	13.3	"2019"	"22"
"23-2015"	"Philadelphia 76ers"		23.7	34387296	"$22,416,388 "	63854302	"$19,905,944 "	-789302	6141944	1	94.8	103.9	18	18.3	"2015"	"23"
"23-2016"	"Philadelphia 76ers"		23.9	31052215	"$31,310,786 "	68798037	"$22,315,223 "	1201963	7575223	3	98.4	108.6	10	16.5	"2016"	"23"
"23-2017"	"Philadelphia 76ers"		23.9	61656754	"23974947"	92300991	"$27,184,034 "	1842009	8325751	4	102.7	108.2	28	16.7	"2017"	"23"
"23-2018"	"Philadelphia 76ers"		25.2	89638648	"$10,225,000 "	100020936	"$19,245,064 "	-927936	-927936	5	108.3	103.8	52	16.3	"2018"	"23"
"23-2019"	"Philadelphia 76ers"		26.6	107554205	"$4,236,960 "	111962081	"$11,770,919 "	-10093081	-10093081	6	111.5	108.8	50	14.4	"2019"	"23"
"24-2015"	"Phoenix Suns"		25.5	55464385	"$4,509,503 "	60237268	"$16,591,732 "	2827732	2827732	2	104.2	105.3	39	15.4	"2015"	"24"
"24-2016"	"Phoenix Suns"		25.3	63389393	"$9,633,261 "	73443637	"$11,296,363 "	-3443637	-3443637	0	101.4	107.9	23	17.3	"2016"	"24"
"24-2017"	"Phoenix Suns"		24.9	72521524	"12303041"	85055253	"$28,231,747 "	9087747	9087747	0	106.1	111.3	24	15.2	"2017"	"24"
"24-2018"	"Phoenix Suns"		23.8	73955365	"$18,369,733 "	92518634	"$26,747,366 "	6574366	6574366	1	102.6	111.6	21	15.5	"2018"	"24"
"24-2019"	"Phoenix Suns"		23.7	68854080	"$39,334,055 "	108453793	"$15,279,207 "	-6584793	-6584793	1	105.3	113.9	19	15.3	"2019"	"24"
"25-2015"	"Portland Trail Blazers"		26.5	72964755	"$30,000 "	72994755	"$3,834,245*"	-9929755	-9929755	3	107.1	102.8	51	14.2	"2015"	"25"
"25-2016"	"Portland Trail Blazers"		24.3	48301816	"$14,185,050 "	66562366	"$22,253,134 "	3437634	7513134	4	107.6	106.8	44	15	"2016"	"25"
"25-2017"	"Portland Trail Blazers"		24.1	110932233	"1984005"	112916238	"($66,198)"	-18773238	-18773238	5	109.4	110	41	13.9	"2017"	"25"
"25-2018"	"Portland Trail Blazers"		24.1	114016865	"$5,091,108 "	119265261	"$739 "	-20172261	-20172261	6	108.3	105.5	49	13.9	"2018"	"25"
"25-2019"	"Portland Trail Blazers"		24.7	128504910	"$5,091,108 "	133596018	"($9,863,018)"	-31727018	-31727018	7	113.5	109.4	50	13.7	"2019"	"25"
"26-2015"	"Sacramento Kings"		26.5	73061908	"$917,630 "	74176743	"$2,652,257*"	-11111743	-11111743	0	104.5	108.2	29	16.8	"2015"	"26"
"26-2016"	"Sacramento Kings"		26.2	71733666	"$937,630 "	72671296	"$12,068,704 "	-2671296	-2671296	0	105.3	107.6	33	16	"2016"	"26"
"26-2017"	"Sacramento Kings"		25.5	87859206	"7807826"	95667032	"$17,619,968 "	-1524032	-1524032	1	106.5	110.7	32	15.2	"2017"	"26"
"26-2018"	"Sacramento Kings"		25.5	77725702	"$17,957,122 "	97154206	"$23,583,176 "	1938794	3410176	2	103	110.3	27	14.3	"2018"	"26"
"26-2019"	"Sacramento Kings"		24.7	92249525	"$11,656,113 "	104038467	"$19,694,533 "	-2169467	-2169467	3	109.2	110.3	39	12.8	"2019"	"26"
"27-2015"	"San Antonio Spurs"		28.7	69028330	"$1,213,384 "	70379233	"$6,449,767*"	-7314233	-7314233	19	107.6	101.3	55	14.6	"2015"	"27"
"27-2016"	"San Antonio Spurs"		31.2	85192733	"$2,402,263 "	87594996	"($2,854,996)"	-17594996	-17594996	20	109.3	98.2	67	13.8	"2016"	"27"
"27-2017"	"San Antonio Spurs"		28.8	104866760	"3390037"	108372141	"$4,477,899 "	-14229141	-14229141	21	110.3	102.8	61	14.1	"2017"	"27"
"27-2018"	"San Antonio Spurs"		28.5	113237104	"$2,916,450 "	116153554	"$2,297,908*"	-17060554	-17060554	22	107	104.1	47	13.7	"2018"	"27"
"27-2019"	"San Antonio Spurs"		26.9	102296083	"$20,306,394 "	122602477	"$1,130,523*"	-20733477	-20733477	23	112.2	110.9	46	12.2	"2019"	"27"
"28-2015"	"Toronto Raptors"		25.7	75424914	"$671,609 "	76096523	"$732,477 "	-13031523	-13031523	4	110.2	107.1	49	13.7	"2015"	"28"
"28-2016"	"Toronto Raptors"		25.6	71217611	"$1,097,276 "	72314887	"$12,425,113 "	-2314887	-2314887	5	109.3	104.8	56	13.9	"2016"	"28"
"28-2017"	"Toronto Raptors"		25.1	108443469	"206500"	108649969	"$4,637,031 "	-14506969	-14506969	6	111.4	107.1	51	13.2	"2017"	"28"
"28-2018"	"Toronto Raptors"		25.1	115391026	"$1,100,000 "	116583186	"$2,682,814*"	-17490186	-17490186	7	112.9	105.1	59	13.5	"2018"	"28"
"28-2019"	"Toronto Raptors"		27	135316573	"$1,800,000 "	137202031	"($13,469,031)"	-35333031	-35333031	1	112.5	107	56	13.8	"2019"	"28"
"29-2015"	"Utah Jazz"		23.2	47940340	"$10,594,863 "	58905618	"$17,923,382 "	4159382	4159382	1	104.2	104.1	38	16.8	"2015"	"29"
"29-2016"	"Utah Jazz"		23.7	63160091	"$1,527,476 "	64817873	"$19,922,127 "	5182127	5182127	2	105	103.2	40	16	"2016"	"29"
"29-2017"	"Utah Jazz"		25.9	80223192	"275000"	80498192	"$32,788,808 "	13644808	13644808	3	108.9	104.6	51	14.7	"2017"	"29"
"29-2018"	"Utah Jazz"		25.9	103837783	"$2,783,993 "	106862254	"$12,403,746 "	-7769254	-7769254	4	107.2	102.9	48	15.1	"2018"	"29"
"29-2019"	"Utah Jazz"		26.8	113394016	"0"	113394016	"$10,338,984 "	-11525016	-11525016	5	110	104.8	49	14.9	"2019"	"29"
"30-2015"	"Washington Wizards"		28.3	72952787	"$400,000 "	73502681	"$3,326,319*"	-10437681	-10437681	4	103	102.3	46	15.7	"2015"	"30"
"30-2016"	"Washington Wizards"		27.3	76328636	"$8,910,202 "	86186114	"$-1,446,114*"	-16186114	-16186114	5	104.5	105.1	41	14.5	"2016"	"30"
"30-2017"	"Washington Wizards"		25.1	100785911	"1551805"	102337716	"$10,075,364 "	-8194716	-8194716	1	110.4	108.7	49	14.3	"2017"	"30"
"30-2018"	"Washington Wizards"		27.3	122840421	"$1,024,235 "	124114043	"($4,848,043)"	-25021043	-25021043	2	108.1	107.6	43	14.8	"2018"	"30"
"30-2019"	"Washington Wizards"		26.6	121912382	"$1,391,145 "	123474443	"$258,557 "	-21605443	-21605443	3	110.2	112.8	32	13.6	"2019"	"30"
